battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2025-12-28-1056,RANKED MATCH,sagat,juri,1450,1418,WIN,"[8,1]",SJ6UX6XRJ,1
2025-12-28-1055,RANKED MATCH,sagat,juri,1442,1426,WIN,"[6,1]",S64KUA5PR,1
2025-12-28-1052,RANKED MATCH,sagat,luke,1434,1423,WIN,"[1,1]",UNF8NTUEA,1
2025-12-28-1051,RANKED MATCH,sagat,luke,1426,1431,WIN,"[1,1]",5VD3AP49H,1
2025-12-28-1049,RANKED MATCH,sagat,jamie,1434,1439,WIN,"[0,1,0]",8WG33A7L6,1
2025-12-28-1046,RANKED MATCH,sagat,jamie,1425,1448,WIN,"[0,1,1]",JNR8YWSN7,1
2025-12-28-1044,RANKED MATCH,sagat,jamie,1433,1440,LOSE,"[0,0]",NYPEE5K4F,1
2025-12-28-1041,RANKED MATCH,sagat,luke,1441,1429,LOSE,"[0,0]",V3Y9H6VUM,1
2025-12-28-1040,RANKED MATCH,sagat,luke,1450,1420,LOSE,"[1,0,0]",S3583G95A,1
2025-12-28-1036,RANKED MATCH,sagat,ryu,1459,1432,LOSE,"[1,0,0]",KU9YRBYXC,1
2025-12-28-1033,RANKED MATCH,sagat,ryu,1451,1440,WIN,"[1,1]",FU4JXV7NP,2
2025-12-28-1031,RANKED MATCH,sagat,ryu,1460,1431,LOSE,"[0,0]",EM8A76LYV,2
2025-12-28-1029,RANKED MATCH,luke,jp,1406,1361,LOSE,"[1,0,0]",BDMBXCAHJ,2
2025-12-28-1026,RANKED MATCH,luke,jp,1415,1352,LOSE,"[0,0]",5KJPNXR3T,2
2025-12-28-1024,RANKED MATCH,luke,ryu,1408,1357,WIN,"[0,1,6]",3HWRFMK9Y,2
2025-12-28-1021,RANKED MATCH,luke,ryu,1401,1364,LOSE,"[6,0,7]",S6SXWKCBF,2
2025-12-28-1017,RANKED MATCH,jp,gouki,1409,1421,LOSE,"[0,1,0]",4PACT344B,2
2025-12-28-1015,RANKED MATCH,jp,gouki,1417,1413,LOSE,"[0,2,0]",4KER75W8N,2
2025-12-28-1012,RANKED MATCH,jp,gouki,1409,1401,WIN,"[1,1]",QJMDVJJY4,2
2025-12-28-1010,RANKED MATCH,jp,gouki,1401,1409,WIN,"[0,1,1]",7NV4LGYCV,2
2025-12-28-1006,RANKED MATCH,luke,zangief,1409,1393,LOSE,"[0,0]",AK66DESQU,3
2025-12-28-1004,RANKED MATCH,luke,zangief,1418,1384,LOSE,"[0,1,0]",VGN89E9LX,3
2025-12-28-1001,RANKED MATCH,luke,ed,1410,1398,WIN,"[6,6]",UUWCQWDNS,3
2025-12-28-0958,RANKED MATCH,honda,gouki,1398,1410,LOSE,"[1,0,0]",5TWP5DF87,3
2025-12-28-0956,RANKED MATCH,honda,gouki,1389,1419,WIN,"[5,1]",YAC4YVRVH,3
2025-12-28-0954,RANKED MATCH,honda,gouki,1397,1411,LOSE,"[0,1,0]",EQTHMDKFX,3
2025-12-28-0951,RANKED MATCH,honda,juri,1404,1448,LOSE,"[0,0]",TL7SAGQB8,3
2025-12-28-0949,RANKED MATCH,honda,juri,1411,1441,LOSE,"[1,0,0]",KLUA8R84W,3
2025-12-28-0946,RANKED MATCH,honda,gouki,1418,1480,LOSE,"[0,1,0]",6N4AQ45T4,3
2025-12-28-0942,RANKED MATCH,marisa,jp,1348,1316,WIN,"[1,1]",G8U43VL6J,3
2025-12-28-0941,RANKED MATCH,marisa,jp,1340,1324,WIN,"[1,0,1]",VP53QS8J3,4
2025-12-28-0937,RANKED MATCH,marisa,aki,1347,1393,LOSE,"[0,0]",RTXBLPMKA,4
2025-12-28-0935,RANKED MATCH,marisa,aki,1354,1386,LOSE,"[0,1,0]",B8JVCYTQB,4
2025-12-28-0933,RANKED MATCH,marisa,aki,1345,1395,WIN,"[0,1,1]",AWGPPY6H4,4
2025-12-28-0930,RANKED MATCH,marisa,cammy,1338,1305,WIN,"[1,8]",GWN5DCCCX,4
2025-12-28-0929,RANKED MATCH,marisa,cammy,1330,1313,WIN,"[6,1]",Q8L7PD44H,4
2025-12-28-0926,RANKED MATCH,marisa,marisa,1341,1180,LOSE,"[0,0]",DT5S8PX75,4
2025-12-28-0925,RANKED MATCH,marisa,marisa,1353,1168,LOSE,"[0,0]",5EXNB4P4G,4
2025-12-28-0922,RANKED MATCH,marisa,ryu,1348,1226,WIN,"[1,1]",CM9R7Q46W,4
2025-12-28-0921,RANKED MATCH,marisa,ryu,1359,1215,LOSE,"[0,0]",D9T7PLEES,4
2025-12-28-0919,RANKED MATCH,marisa,ryu,1354,1220,WIN,"[1,6]",5SEHV9QW8,5
2025-12-28-0917,RANKED MATCH,marisa,jamie,1347,1291,WIN,"[0,5,1]",Y5U7C74RX,5
2025-12-28-0915,RANKED MATCH,marisa,jamie,1340,1298,WIN,"[8,1]",AAPQHEDUT,5
2025-12-28-0913,RANKED MATCH,marisa,ryu,1348,1363,LOSE,"[0,0]",GKUHFBTCQ,5
2025-12-28-0911,RANKED MATCH,marisa,ryu,1356,1355,LOSE,"[1,0,0]",NRSWXDJKS,5
2025-12-28-0908,RANKED MATCH,marisa,terry,1364,1361,LOSE,"[0,0]",CF6NEDQQ7,5
2025-12-28-0906,RANKED MATCH,marisa,terry,1372,1353,LOSE,"[1,0,0]",CLFLSDU9V,5
2025-12-28-0904,RANKED MATCH,marisa,gouki,1379,1405,LOSE,"[0,0]",HX3GPPCGY,5
2025-12-28-0902,RANKED MATCH,marisa,gouki,1387,1397,LOSE,"[0,0]",D5VNURPBX,5
2025-12-28-0900,RANKED MATCH,marisa,jamie,1378,1411,WIN,"[0,1,1]",7BFEWAD4Q,5
2025-12-28-0857,RANKED MATCH,marisa,jamie,1386,1403,LOSE,"[0,0]",SLQULFKQR,6
2025-12-28-0856,RANKED MATCH,marisa,jamie,1377,1412,WIN,"[1,1]",SJNMJ58C6,6
2025-12-28-0853,RANKED MATCH,marisa,marisa,1385,1406,LOSE,"[1,0,0]",ULMDT55GC,6
2025-12-28-0851,RANKED MATCH,marisa,marisa,1393,1398,LOSE,"[0,6,0]",RC6AW9JXV,6
2025-12-28-0849,RANKED MATCH,marisa,marisa,1384,1407,WIN,"[5,1]",NKMXYU9EE,6
2025-12-28-0846,RANKED MATCH,marisa,marisa,1376,1391,WIN,"[0,1,1]",9U4EEEEUL,6
2025-12-28-0845,RANKED MATCH,marisa,marisa,1367,1400,WIN,"[2,0,8]",N5Y4PWL88,6
2025-12-28-0842,RANKED MATCH,marisa,rashid,1376,1352,LOSE,"[0,0]",PNWAP8A8G,6
2025-12-28-0840,RANKED MATCH,marisa,ken,1383,1442,LOSE,"[0,0]",D4S3RKJKY,6
2025-12-28-0838,RANKED MATCH,marisa,ken,1373,1452,WIN,"[1,1]",FRJDLP9PX,6
2025-12-28-0837,RANKED MATCH,marisa,ken,1379,1446,LOSE,"[0,1,0]",DY9AEJSFJ,7
2025-12-28-0834,RANKED MATCH,marisa,terry,1385,1464,LOSE,"[0,0]",RSN9FUULM,7
2025-12-28-0832,RANKED MATCH,marisa,terry,1391,1458,LOSE,"[0,0]",3RVF9Y8Q5,7
2025-12-28-0830,RANKED MATCH,marisa,gouki,1400,1363,LOSE,"[0,0]",4UE7JLPWG,7
2025-12-28-0829,RANKED MATCH,marisa,gouki,1409,1354,LOSE,"[0,0]",3MLRQDTKB,7
2025-12-28-0827,RANKED MATCH,marisa,gouki,1402,1361,WIN,"[1,0,1]",GCRHPL9UM,7
2025-12-28-0823,RANKED MATCH,luke,mai,1417,1463,LOSE,"[0,0]",Y4GWCAPS5,7
2025-12-28-0821,RANKED MATCH,luke,mai,1424,1456,LOSE,"[0,0]",7V9WCS9C4,7
2025-12-28-0819,RANKED MATCH,luke,vega,1416,1433,WIN,"[6,1]",VFLDY9L55,7
2025-12-28-0817,RANKED MATCH,luke,vega,1407,1442,WIN,"[1,1]",J3CE569JB,7
2025-12-28-0816,RANKED MATCH,luke,vega,1415,1434,LOSE,"[0,0]",DYRBSWLHG,8
2025-12-28-0813,RANKED MATCH,luke,ryu,1409,1322,WIN,"[2,0,1]",QGPQWM9NG,8
2025-12-28-0811,RANKED MATCH,luke,ryu,1403,1328,WIN,"[8,1]",49KSJ8AJK,8
2025-12-28-0808,RANKED MATCH,guile,marisa,1393,1362,WIN,"[1,7]",CB7S5XXX3,8
2025-12-28-0806,RANKED MATCH,guile,chunli,1399,1484,LOSE,"[0,0]",348KMMJJY,8
2025-12-28-0804,RANKED MATCH,guile,chunli,1389,1494,WIN,"[1,1]",AVDV85PC3,8
2025-12-28-0802,RANKED MATCH,guile,chunli,1395,1488,LOSE,"[0,0]",N79K4BMRJ,8
2025-12-28-0759,RANKED MATCH,guile,cammy,1387,1390,WIN,"[0,1,1]",WHMNGLN77,8
2025-12-28-0756,RANKED MATCH,guile,cammy,1379,1398,LOSE,"[0,6,7]",WFR9QAT5Y,8
2025-12-28-0753,RANKED MATCH,guile,cammy,1387,1390,LOSE,"[1,0,0]",V59GYVCKJ,8
2025-12-28-0750,RANKED MATCH,guile,elena,1394,1424,LOSE,"[0,0]",3F9S47DQ5,9
2025-12-28-0749,RANKED MATCH,guile,elena,1402,1416,LOSE,"[0,1,0]",N9BG44ETE,9
2025-12-28-0745,RANKED MATCH,guile,ryu,1394,1393,WIN,"[5,1]",KGFBHVJSG,9
2025-12-28-0743,RANKED MATCH,guile,ken,1402,1419,LOSE,"[0,0]",G3G9QMGXW,9
2025-12-28-0742,RANKED MATCH,guile,ken,1393,1428,WIN,"[1,1]",6J34AVG8U,9
2025-12-28-0740,RANKED MATCH,guile,ken,1401,1420,LOSE,"[0,0]",L853MHHDQ,9
2025-12-28-0738,RANKED MATCH,guile,terry,1394,1357,WIN,"[5,7]",TDBP9E9XT,9
2025-12-28-0735,RANKED MATCH,guile,terry,1386,1365,WIN,"[1,0,6]",BXD9Q53S3,9
2025-12-28-0732,RANKED MATCH,guile,ken,1394,1399,LOSE,"[0,0]",KJRFX6H7C,9
2025-12-28-0730,RANKED MATCH,guile,ken,1386,1407,WIN,"[0,5,2]",EF9RD4BY6,9
2025-12-28-0728,RANKED MATCH,guile,ken,1394,1399,LOSE,"[0,1,0]",4UHPQ9PYP,10
2025-12-28-0725,RANKED MATCH,guile,terry,1388,1311,WIN,"[1,6]",YCYS9QBKK,10
2025-12-28-0722,RANKED MATCH,guile,ed,1395,1452,LOSE,"[0,1,0]",MFMWQPDE7,10
2025-12-28-0720,RANKED MATCH,guile,ed,1402,1445,LOSE,"[0,0]",MARK5DAGX,10
2025-12-28-0717,RANKED MATCH,guile,juri,1394,1384,WIN,"[1,0,1]",GG64WGMUL,10
2025-12-28-0714,RANKED MATCH,guile,juri,1386,1392,WIN,"[0,1,1]",K38MLBRS3,10
2025-12-28-0711,RANKED MATCH,guile,ed,1394,1409,LOSE,"[0,0]",J5QG34UCD,10
2025-12-28-0708,RANKED MATCH,guile,ed,1385,1418,WIN,"[0,1,6]",4HKRFEKGK,10
2025-12-28-0706,RANKED MATCH,guile,ed,1393,1410,LOSE,"[0,0]",B7FKKFCAH,10
2025-12-28-0703,RANKED MATCH,guile,vega,1385,1365,WIN,"[1,1]",NAPT4XWCR,10
