battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2025-12-19-0550,RANKED MATCH,vega,ryu,1401,1420,LOSE,0-2,59NYWL3A8,1
2025-12-19-0548,RANKED MATCH,vega,ryu,1392,1429,WIN,2-1,ELGWQFWY4,1
2025-12-19-0545,RANKED MATCH,vega,ken,1401,1355,LOSE,0-2,TBKAXCJYQ,1
2025-12-19-0543,RANKED MATCH,vega,ken,1410,1346,LOSE,1-2,QUFLYQCUL,1
2025-12-19-0539,RANKED MATCH,sagat,jp,1468,1488,LOSE,1-2,FE3XXHF6E,1
2025-12-19-0536,RANKED MATCH,sagat,cammy,1460,1475,WIN,2-1,S3N3J6SPR,1
2025-12-19-0534,RANKED MATCH,sagat,cammy,1451,1484,WIN,2-0,DLJG7SC4C,1
2025-12-19-0532,RANKED MATCH,sagat,cammy,1459,1476,LOSE,0-2,NCHQN9TUK,1
2025-12-19-0529,RANKED MATCH,sagat,ken,1451,1434,WIN,2-0,CBT3DP55Y,1
2025-12-19-0528,RANKED MATCH,sagat,ken,1443,1442,WIN,2-0,KYU85XVQL,1
2025-12-19-0526,RANKED MATCH,sagat,mai,1435,1443,WIN,2-1,DH8F9686R,2
2025-12-19-0523,RANKED MATCH,sagat,mai,1443,1435,LOSE,0-2,99XYBBRX7,2
2025-12-19-0522,RANKED MATCH,sagat,mai,1435,1443,WIN,2-0,DAKXBHQUY,2
2025-12-19-0519,RANKED MATCH,sagat,ed,1442,1491,LOSE,1-2,DKQWG7QX7,2
2025-12-19-0517,RANKED MATCH,sagat,ed,1449,1484,LOSE,0-2,NGDQNGK7T,2
2025-12-19-0514,RANKED MATCH,sagat,ed,1442,1389,WIN,2-0,7QNSQAB65,2
2025-12-19-0513,RANKED MATCH,sagat,ed,1435,1396,WIN,2-0,BEXN76399,2
2025-12-19-0510,RANKED MATCH,marisa,honda,1406,1468,LOSE,1-2,EPWR9GG4F,2
2025-12-19-0508,RANKED MATCH,marisa,honda,1413,1461,LOSE,0-2,HHKPWKEYE,2
2025-12-19-0505,RANKED MATCH,marisa,guile,1421,1438,LOSE,0-1,TVNMW4X9Y,2
2025-12-19-0504,RANKED MATCH,marisa,guile,1429,1430,LOSE,0-2,YS99DVU5P,3
2025-12-19-0503,RANKED MATCH,marisa,guile,1421,1438,WIN,2-1,GYWGU5N9S,3
2025-12-19-0500,RANKED MATCH,marisa,vega,1413,1431,WIN,2-1,5CU93T7JP,3
2025-12-19-0456,RANKED MATCH,vega,luke,1417,1458,LOSE,0-2,4V4UF7ERK,3
2025-12-19-0454,RANKED MATCH,vega,luke,1424,1451,LOSE,1-2,JVFXCMXF8,3
2025-12-19-0452,RANKED MATCH,vega,luke,1415,1460,WIN,2-1,6G6VFCLTR,3
2025-12-19-0448,RANKED MATCH,guile,jamie,1412,1430,LOSE,1-2,JHRSQHVBP,3
2025-12-19-0445,RANKED MATCH,guile,jamie,1420,1422,LOSE,1-2,C57DV3NSQ,3
2025-12-19-0443,RANKED MATCH,guile,jamie,1412,1430,WIN,2-1,P97K4DQ4K,3
2025-12-19-0438,RANKED MATCH,vega,gouki,1408,1371,WIN,2-1,XUQ5E6QHX,3
2025-12-19-0436,RANKED MATCH,vega,gouki,1401,1378,WIN,2-0,9ABKTMG4F,4
