battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2026-01-08-0122,RANKED MATCH,vega,terry,1441,1372,LOSE,"[-1,-6]",QP5BHRLSK,1
2026-01-08-0121,RANKED MATCH,vega,terry,1451,1362,LOSE,"[-1,1,-1]",RDY57CH4C,1
2026-01-08-0119,RANKED MATCH,vega,terry,1445,1368,WIN,"[-1,1,1]",NQVBB77X8,1
2026-01-08-0116,RANKED MATCH,vega,ryu,1440,1286,WIN,"[-1,6,1]",QGTWQFQN6,1
2026-01-08-0113,RANKED MATCH,vega,ryu,1435,1291,WIN,"[1,1]",S3AEBTWE4,1
2026-01-08-0110,RANKED MATCH,vega,rashid,1427,1432,WIN,"[-5,1,1]",L7NFUMQTY,1
2026-01-08-0108,RANKED MATCH,vega,rashid,1419,1440,WIN,"[1,-1,1]",CYMREHKWS,1
2026-01-08-0105,RANKED MATCH,vega,rashid,1427,1432,LOSE,"[-1,-8]",EL9TWH9E8,1
2026-01-08-0103,RANKED MATCH,vega,lily,1435,1437,LOSE,"[-6,1,-1]",BPXAUQ768,1
2026-01-08-0100,RANKED MATCH,vega,lily,1427,1445,WIN,"[1,1]",B54X873DF,1
2026-01-08-0058,RANKED MATCH,vega,lily,1435,1437,LOSE,"[-1,-1]",NLKGDVPN7,2
2026-01-08-0056,RANKED MATCH,vega,ryu,1443,1455,LOSE,"[-1,-6]",CCJEDEDHF,2
2026-01-08-0054,RANKED MATCH,vega,ryu,1451,1447,LOSE,"[-1,1,-1]",DCUTKHEWP,2
2026-01-08-0051,RANKED MATCH,vega,guile,1459,1454,LOSE,"[-1,-6]",DSVELEHY4,2
2026-01-08-0049,RANKED MATCH,vega,guile,1468,1445,LOSE,"[1,-8,-1]",N64P8TQYA,2
2026-01-08-0047,RANKED MATCH,vega,guile,1460,1453,WIN,"[1,-5,1]",WGGPMJNLN,2
2026-01-08-0043,RANKED MATCH,vega,jp,1452,1435,WIN,"[1,1]",3FPKHET5M,2
2026-01-08-0041,RANKED MATCH,vega,jp,1444,1443,WIN,"[5,5]",UY7PHGUEB,2
2026-01-08-0038,RANKED MATCH,vega,ken,1437,1383,WIN,"[-1,6,1]",L67JAKDEB,2
2026-01-08-0036,RANKED MATCH,vega,ken,1430,1390,WIN,"[1,1]",FSEJLPGWT,2
2026-01-08-0034,RANKED MATCH,vega,jamie,1423,1369,WIN,"[-1,1,6]",8RPVRKKNA,3
2026-01-08-0031,RANKED MATCH,vega,jamie,1416,1376,WIN,"[6,1]",RHBF8TYAA,3
2026-01-08-0028,RANKED MATCH,vega,cammy,1408,1397,WIN,"[1,1]",7F5K5QLGW,3
2026-01-08-0027,RANKED MATCH,vega,cammy,1400,1405,WIN,"[1,8]",HADA8P7EF,3
