battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2026-01-07-2128,RANKED MATCH,vega,zangief,1445,1377,WIN,"[1,-1,1]",HBRFCTKD6,1
2026-01-07-2126,RANKED MATCH,vega,zangief,1455,1367,LOSE,"[-1,6,-1]",L6K456FSA,1
2026-01-07-2123,RANKED MATCH,vega,zangief,1449,1373,WIN,"[-1,1,1]",CQUACFP48,1
2026-01-07-2120,RANKED MATCH,vega,ryu,1457,1454,LOSE,"[-1,-1]",N669NS4R4,1
2026-01-07-2118,RANKED MATCH,vega,ryu,1465,1446,LOSE,"[-2,1,-6]",VLXS3TXEG,1
2026-01-07-2115,RANKED MATCH,vega,luke,1474,1439,LOSE,"[-1,-1]",QFLTUAYUV,1
2026-01-07-2114,RANKED MATCH,vega,luke,1466,1447,WIN,"[1,1]",46LLAHUDD,1
2026-01-07-2112,RANKED MATCH,vega,luke,1475,1438,LOSE,"[-1,-6]",R4EUVHHRB,1
2026-01-07-2110,RANKED MATCH,vega,aki,1467,1446,WIN,"[1,-1,6]",QWP7FLKM6,1
2026-01-07-2108,RANKED MATCH,vega,aki,1459,1454,WIN,"[1,6]",CXHHCXJR8,1
2026-01-07-2105,RANKED MATCH,vega,juri,1466,1497,LOSE,"[-1,1,-1]",UEDA3JBPU,2
2026-01-07-2103,RANKED MATCH,vega,juri,1457,1506,WIN,"[1,1]",564BVRP3N,2
2026-01-07-2101,RANKED MATCH,vega,juri,1464,1499,LOSE,"[-1,8,-1]",KUKSBLVTC,2
2026-01-07-2057,RANKED MATCH,guile,chunli,1396,1458,LOSE,"[-5,-1]",U8XFKJTYM,2
2026-01-07-2056,RANKED MATCH,guile,chunli,1403,1451,LOSE,"[-1,-1]",YK4CWTTCC,2
2026-01-07-2053,RANKED MATCH,guile,gouki,1411,1390,LOSE,"[-1,1,-1]",8G8JQGSCB,2
2026-01-07-2050,RANKED MATCH,guile,gouki,1403,1398,WIN,"[1,1]",NYEAHE5XF,2
2026-01-07-2049,RANKED MATCH,guile,gouki,1412,1389,LOSE,"[-1,-6]",4TM4H77SS,2
2026-01-07-2045,RANKED MATCH,guile,ryu,1419,1457,LOSE,"[-8,-7]",F747BUNUM,2
2026-01-07-2043,RANKED MATCH,guile,jamie,1425,1507,LOSE,"[-2,-1]",J948SXUFU,2
2026-01-07-2041,RANKED MATCH,guile,jamie,1431,1501,LOSE,"[-8,1,-1]",SPFLJXBAH,3
2026-01-07-2038,RANKED MATCH,jamie,deejay,1347,1382,LOSE,"[-5,-5]",PR99C879F,3
2026-01-04-0622,RANKED MATCH,guile,sagat,1424,1397,WIN,"[1,-1,1]",4NAN8UKNQ,3
2026-01-04-0620,RANKED MATCH,guile,sagat,1416,1405,WIN,"[5,1]",UMXWAN5Y3,3
2026-01-04-0618,RANKED MATCH,guile,sagat,1425,1396,LOSE,"[-1,-1]",G6B7MW66G,3
2026-01-04-0616,RANKED MATCH,guile,sagat,1433,1431,LOSE,"[-5,-1]",S8BS96FAA,3
2026-01-04-0614,RANKED MATCH,guile,sagat,1441,1423,LOSE,"[-1,1,-5]",R7EL8PY7M,3
2026-01-04-0609,RANKED MATCH,guile,gouki,1432,1457,WIN,"[1,1]",6DJV7GA5L,3
2026-01-04-0608,RANKED MATCH,guile,gouki,1423,1466,WIN,"[-1,1,1]",AJ7UJTHMT,3
2026-01-04-0606,RANKED MATCH,guile,gouki,1430,1459,LOSE,"[-1,-1]",K694XD4XH,3
2026-01-04-0604,RANKED MATCH,guile,ken,1422,1440,WIN,"[-1,1,6]",NFUMLVDLE,4
2026-01-04-0601,RANKED MATCH,guile,ken,1413,1449,WIN,"[1,1]",KNHV8K5NP,4
2026-01-04-0600,RANKED MATCH,guile,ken,1421,1441,LOSE,"[-1,1,-1]",Q34AYX4UF,4
2026-01-04-0557,RANKED MATCH,guile,ryu,1428,1461,LOSE,"[-6,-1]",NHXRVENT5,4
2026-01-04-0555,RANKED MATCH,guile,ryu,1436,1453,LOSE,"[-1,-1]",NT3ENWSMW,4
