battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2025-12-30-0149,RANKED MATCH,vega,marisa,1429,1409,WIN,"[1,-5,1]",M5N9R6443,1
2025-12-30-0146,RANKED MATCH,vega,ed,1421,1423,WIN,"[-1,6,1]",4EHCMK8G8,1
2025-12-30-0144,RANKED MATCH,vega,ed,1413,1431,WIN,"[1,1]",BEJAQHKU6,1
2025-12-30-0141,RANKED MATCH,vega,marisa,1421,1420,LOSE,"[-1,-1]",9U5J5LAUL,1
2025-12-30-0139,RANKED MATCH,vega,marisa,1429,1412,LOSE,"[-1,-5]",XGUAVLAB6,1
2025-12-30-0138,RANKED MATCH,vega,marisa,1421,1420,WIN,"[1,8]",Q7SXVPUCX,1
2025-12-30-0135,RANKED MATCH,vega,cviper,1413,1398,WIN,"[-2,7,1]",PP3UH3LQF,1
2025-12-30-0132,RANKED MATCH,vega,cviper,1422,1389,LOSE,"[-1,-6]",T7BLPD4X6,1
2025-12-30-0130,RANKED MATCH,vega,cviper,1414,1397,WIN,"[1,1]",M4WW37J4P,1
2025-12-30-0128,RANKED MATCH,vega,zangief,1421,1447,LOSE,"[-1,-1]",A6CP33WR5,1
2025-12-30-0126,RANKED MATCH,vega,zangief,1429,1439,LOSE,"[-1,-6]",KT569RW6V,2
2025-12-30-0123,RANKED MATCH,vega,manon,1438,1401,LOSE,"[-1,-1]",M5MYXTJGS,2
2025-12-30-0121,RANKED MATCH,vega,manon,1430,1409,WIN,"[1,-1,1]",P9D9NYTXV,2
2025-12-30-0119,RANKED MATCH,vega,manon,1439,1400,LOSE,"[-1,1,-1]",M7TDK5TQ5,2
2025-12-30-0116,RANKED MATCH,vega,sagat,1432,1408,WIN,"[6,-2,1]",4VFF8YR7B,2
2025-12-30-0113,RANKED MATCH,vega,sagat,1424,1416,WIN,"[-1,1,1]",BEVXPFRS9,2
2025-12-30-0109,RANKED MATCH,vega,guile,1431,1492,LOSE,"[-6,-8]",SSKC5KMPN,2
2025-12-30-0108,RANKED MATCH,vega,guile,1421,1502,WIN,"[1,-1,2]",L896SXF5G,2
2025-12-30-0106,RANKED MATCH,vega,guile,1427,1496,LOSE,"[-2,-2]",PNV73A9Y3,2
2025-12-30-0104,RANKED MATCH,vega,luke,1419,1409,WIN,"[1,5]",7AC9QQWXA,2
2025-12-30-0102,RANKED MATCH,vega,luke,1428,1400,LOSE,"[1,-1,-6]",EDN4R3H46,3
2025-12-30-0100,RANKED MATCH,vega,luke,1420,1408,WIN,"[8,1]",RCTQ63KY3,3
2025-12-30-0057,RANKED MATCH,vega,manon,1429,1395,LOSE,"[1,-1,-6]",CVCEJBFEY,3
2025-12-30-0055,RANKED MATCH,vega,manon,1438,1386,LOSE,"[-1,1,-1]",LTPJSSLRB,3
2025-12-30-0052,RANKED MATCH,luke,manon,1397,1406,LOSE,"[-1,-1]",XPJJBCGBA,3
2025-12-30-0050,RANKED MATCH,luke,manon,1405,1398,LOSE,"[-1,-6]",J7KSDV98T,3
2025-12-30-0048,RANKED MATCH,luke,manon,1397,1406,WIN,"[-1,6,1]",348QJCPGP,3
2025-12-30-0044,RANKED MATCH,guile,elena,1410,1389,LOSE,"[-5,-1]",4E7853YGS,3
2025-12-30-0042,RANKED MATCH,guile,elena,1419,1380,LOSE,"[-1,-6]",65LUM3UUK,3
2025-12-30-0040,RANKED MATCH,guile,jamie,1412,1356,WIN,"[1,1]",3AST9LG88,3
2025-12-30-0038,RANKED MATCH,guile,jamie,1405,1363,WIN,"[4,8]",SBNFEA78G,4
2025-12-30-0035,RANKED MATCH,jamie,ryu,1345,1355,LOSE,"[1,-6,-8]",QBDB6CCUV,4
2025-12-30-0033,RANKED MATCH,jamie,ryu,1353,1347,LOSE,"[-6,-8]",7TAAR6D3X,4
2025-12-30-0031,RANKED MATCH,jamie,luke,1346,1296,WIN,"[1,1]",VQJ8PKNKV,4
2025-12-30-0029,RANKED MATCH,jamie,luke,1339,1303,WIN,"[1,-1,5]",XSW9T7DXW,4
2025-12-30-0026,RANKED MATCH,jamie,terry,1348,1305,LOSE,"[-6,-1]",68C6MAMPY,4
2025-12-30-0025,RANKED MATCH,jamie,terry,1357,1296,LOSE,"[-1,7,-6]",5VUDLQXDS,4
2025-12-30-0021,RANKED MATCH,jamie,elena,1365,1344,LOSE,"[1,-1,-1]",SJCK7SXPF,4
2025-12-30-0018,RANKED MATCH,jamie,elena,1374,1335,LOSE,"[-1,-6]",LFWHSC4PV,4
2025-12-30-0016,RANKED MATCH,jamie,ryu,1367,1326,WIN,"[1,1]",BRDE5W5WF,4
2025-12-30-0014,RANKED MATCH,jamie,ryu,1360,1333,WIN,"[-5,6,1]",R58N53FSG,5
2025-12-29-0719,RANKED MATCH,honda,ed,1371,1367,LOSE,"[-1,-1]",LPMTAQ7G7,5
2025-12-29-0717,RANKED MATCH,honda,ed,1380,1358,LOSE,"[-1,-8]",GSGJKG9NU,5
2025-12-29-0716,RANKED MATCH,honda,ed,1372,1366,WIN,"[1,1]",H87FQLMBR,5
2025-12-29-0713,RANKED MATCH,honda,zangief,1381,1354,LOSE,"[-1,-5]",AP7W4VAR3,5
2025-12-29-0711,RANKED MATCH,honda,zangief,1390,1345,LOSE,"[-1,-1]",XUALQKECH,5
2025-12-29-0701,RANKED MATCH,cviper,ed,0,0,LOSE,"[-1,6,-1]",4VVVW3DRN,5
2025-12-29-0657,RANKED MATCH,cviper,ed,0,0,LOSE,"[-1,-1]",RPLEQG7E7,5
2025-12-29-0655,RANKED MATCH,cviper,ed,0,0,WIN,"[1,-1,1]",EVTSGB8G3,5
2025-12-29-0651,RANKED MATCH,ed,mai,0,0,LOSE,"[-1,-6]",C9NDYN94S,5
2025-12-29-0650,RANKED MATCH,ed,mai,0,0,WIN,"[2,1]",JFR3E3MW8,6
2025-12-29-0648,RANKED MATCH,ed,mai,0,0,LOSE,"[-5,-7]",SCG77TR7G,6
2025-12-29-0644,RANKED MATCH,zangief,aki,0,0,LOSE,"[-1,-7]",PGJ33LRLV,6
2025-12-29-0643,RANKED MATCH,zangief,aki,0,0,LOSE,"[-1,-7]",NATC9WDNG,6
2025-12-29-0640,RANKED MATCH,zangief,sagat,0,0,LOSE,"[-5,8,-1]",AQS4XVDS7,6
2025-12-29-0638,RANKED MATCH,zangief,sagat,0,0,LOSE,"[1,-1,-1]",MVWTFABME,6
2025-12-29-0635,RANKED MATCH,zangief,sagat,0,0,WIN,"[1,-1,1]",HHMCWCCAR,6
2025-12-29-0632,RANKED MATCH,ken,ken,1336,1387,LOSE,"[-1,1,-1]",HVS89WRQE,6
2025-12-29-0629,RANKED MATCH,ken,marisa,1344,1331,LOSE,"[1,-1,-7]",8SWRJAWQS,6
2025-12-29-0626,RANKED MATCH,ken,marisa,1353,1322,LOSE,"[-1,-6]",RKE8PFYHK,6
2025-12-29-0624,RANKED MATCH,ken,jp,1361,1382,LOSE,"[-1,-1]",EQFNRDCGB,7
2025-12-29-0622,RANKED MATCH,ken,jp,1369,1374,LOSE,"[-1,1,-5]",XJH9UFF8K,7
2025-12-29-0619,RANKED MATCH,ryu,ryu,1368,1379,LOSE,"[-1,1,-6]",DHQSLN697,7
2025-12-29-0617,RANKED MATCH,ryu,ryu,1376,1371,LOSE,"[-1,-1]",BXTK6FQBM,7
2025-12-29-0615,RANKED MATCH,ryu,luke,1383,1409,LOSE,"[-8,-1]",V9HMG9CPY,7
2025-12-29-0614,RANKED MATCH,ryu,luke,1374,1418,WIN,"[1,1]",W4LP8HUEL,7
2025-12-29-0612,RANKED MATCH,ryu,luke,1381,1411,LOSE,"[-1,-1]",BCUSUV7Y7,7
2025-12-29-0610,RANKED MATCH,guile,mai,1414,1364,LOSE,"[-1,-5]",XQAQ3PQE9,7
2025-12-29-0607,RANKED MATCH,guile,juri,1419,1567,LOSE,"[1,-1,-6]",Q894S8UUL,7
2025-12-29-0605,RANKED MATCH,guile,juri,1424,1562,LOSE,"[1,-1,-5]",MDUMQGGJW,7
2025-12-29-0602,RANKED MATCH,guile,juri,1413,1573,WIN,"[-1,1,1]",PDVEERFE5,8
2025-12-29-0559,RANKED MATCH,guile,ryu,1405,1384,WIN,"[1,6]",PUPXD3PAG,8
2025-12-29-0557,RANKED MATCH,guile,ryu,1397,1392,WIN,"[1,1]",KUREBNPYK,8
2025-12-29-0556,RANKED MATCH,guile,ryu,1406,1383,LOSE,"[-1,-1]",GGJPE95TJ,8
2025-12-29-0553,RANKED MATCH,guile,rashid,1414,1414,LOSE,"[-1,-2]",LL9PLDEG9,8
2025-12-29-0550,RANKED MATCH,guile,marisa,1407,1359,WIN,"[1,1]",FU78WRYM9,8
2025-12-29-0549,RANKED MATCH,guile,marisa,1400,1366,WIN,"[-8,1,1]",9WBTASSRA,8
2025-12-29-0546,RANKED MATCH,gouki,zangief,1263,1284,LOSE,"[-5,-1]",ER397T3XW,8
2025-12-29-0544,RANKED MATCH,gouki,zangief,1271,1276,LOSE,"[-5,1,-6]",3LQVBB4AY,8
2025-12-29-0541,RANKED MATCH,gouki,deejay,1262,1320,WIN,"[1,1]",P74RH9BE7,8
2025-12-29-0539,RANKED MATCH,gouki,deejay,1252,1330,WIN,"[-1,1,1]",PT3Y59D5E,9
2025-12-29-0537,RANKED MATCH,gouki,deejay,1259,1323,LOSE,"[-5,1,-1]",DT8B9JTG5,9
2025-12-29-0533,RANKED MATCH,gouki,ryu,1267,1284,LOSE,"[-1,-1]",6UMRC3LJG,9
2025-12-29-0530,RANKED MATCH,gouki,ken,1258,1322,WIN,"[8,1]",NEKB9UC55,9
2025-12-29-0514,RANKED MATCH,vega,kimberly,1430,1412,WIN,"[1,1]",Y588RTAHK,9
2025-12-29-0513,RANKED MATCH,vega,kimberly,1439,1403,LOSE,"[-8,1,-1]",568YADQDG,9
2025-12-29-0510,RANKED MATCH,vega,kimberly,1432,1410,WIN,"[-1,2,1]",XSE9VGNW6,9
2025-12-29-0507,RANKED MATCH,vega,dhalsim,1440,1458,LOSE,"[-1,-1]",UTT9V6V4V,9
2025-12-29-0505,RANKED MATCH,vega,dhalsim,1431,1467,WIN,"[1,-1,1]",ESLBK4GGN,9
2025-12-29-0502,RANKED MATCH,vega,dhalsim,1439,1459,LOSE,"[-5,1,-1]",N69VSF54M,9
2025-12-29-0458,RANKED MATCH,vega,luke,1432,1409,WIN,"[5,1]",E3G38RTPS,10
2025-12-29-0457,RANKED MATCH,vega,luke,1424,1417,WIN,"[1,-1,1]",89JSDX7M6,10
2025-12-29-0453,RANKED MATCH,vega,terry,1431,1468,LOSE,"[1,-1,-6]",4XNKKF6SM,10
2025-12-29-0451,RANKED MATCH,vega,terry,1438,1461,LOSE,"[-2,1,-6]",YVLPAXB5D,10
2025-12-29-0447,RANKED MATCH,vega,kimberly,1429,1463,WIN,"[5,-6,1]",KSD344V3H,10
2025-12-29-0444,RANKED MATCH,vega,kimberly,1420,1472,WIN,"[8,-1,6]",GSWQQDGHA,10
2025-12-29-0441,RANKED MATCH,vega,jp,1411,1442,WIN,"[1,1]",895QRRWF7,10
2025-12-29-0439,RANKED MATCH,vega,jp,1402,1451,WIN,"[1,1]",GEEGGNHMH,10
2025-12-29-0438,RANKED MATCH,vega,jp,1409,1444,LOSE,"[-1,-6]",HA7RX6KK3,10
2025-12-29-0435,RANKED MATCH,vega,rashid,1401,1397,WIN,"[-2,1,1]",DYQDMXXMS,10
