battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2026-01-08-0201,RANKED MATCH,vega,terry,1469,1454,WIN,"[1,6]",75GMSH6R6,1
2026-01-08-0158,RANKED MATCH,vega,gouki,1462,1419,WIN,"[1,-8,6]",K9UHC969A,1
2026-01-08-0156,RANKED MATCH,vega,gouki,1455,1426,WIN,"[5,1]",5CTJ4A7RC,1
2026-01-08-0153,RANKED MATCH,vega,sagat,1447,1459,WIN,"[-1,1,1]",BT5GJGM7A,1
2026-01-08-0151,RANKED MATCH,vega,sagat,1455,1451,LOSE,"[-1,-1]",LS3MENWED,1
2026-01-08-0150,RANKED MATCH,vega,sagat,1447,1459,WIN,"[1,1]",SSXHPSEAR,1
2026-01-08-0148,RANKED MATCH,vega,luke,1439,1455,WIN,"[1,1]",8YCWXQUCG,1
2026-01-08-0146,RANKED MATCH,vega,luke,1430,1464,WIN,"[-1,1,1]",RX77S9EFJ,1
2026-01-08-0143,RANKED MATCH,vega,cammy,1422,1417,WIN,"[1,1]",W59GNWAYQ,1
2026-01-08-0141,RANKED MATCH,vega,cammy,1414,1425,WIN,"[1,5]",T55BUYX4F,1
2026-01-08-0139,RANKED MATCH,vega,cammy,1422,1417,LOSE,"[1,-1,-1]",PLKKGFNXK,2
2026-01-08-0135,RANKED MATCH,vega,marisa,1430,1411,LOSE,"[-1,-6]",BFP6PKB7U,2
2026-01-08-0134,RANKED MATCH,vega,marisa,1439,1402,LOSE,"[-5,-7]",UWHR8W333,2
2026-01-08-0131,RANKED MATCH,vega,cviper,1431,1432,WIN,"[5,7]",3PUGBWKSR,2
2026-01-08-0129,RANKED MATCH,vega,cviper,1423,1440,WIN,"[6,-7,1]",RAFNQLNKV,2
2026-01-08-0126,RANKED MATCH,vega,cviper,1431,1432,LOSE,"[-1,-8]",8LNMNUHVT,2
2026-01-08-0122,RANKED MATCH,vega,terry,1441,1372,LOSE,"[-1,-6]",QP5BHRLSK,2
2026-01-08-0121,RANKED MATCH,vega,terry,1451,1362,LOSE,"[-1,1,-1]",RDY57CH4C,2
2026-01-08-0119,RANKED MATCH,vega,terry,1445,1368,WIN,"[-1,1,1]",NQVBB77X8,2
2026-01-08-0116,RANKED MATCH,vega,ryu,1440,1286,WIN,"[-1,6,1]",QGTWQFQN6,2
2026-01-08-0113,RANKED MATCH,vega,ryu,1435,1291,WIN,"[1,1]",S3AEBTWE4,3
2026-01-08-0110,RANKED MATCH,vega,rashid,1427,1432,WIN,"[-5,1,1]",L7NFUMQTY,3
2026-01-08-0108,RANKED MATCH,vega,rashid,1419,1440,WIN,"[1,-1,1]",CYMREHKWS,3
2026-01-08-0105,RANKED MATCH,vega,rashid,1427,1432,LOSE,"[-1,-8]",EL9TWH9E8,3
2026-01-08-0103,RANKED MATCH,vega,lily,1435,1437,LOSE,"[-6,1,-1]",BPXAUQ768,3
2026-01-08-0100,RANKED MATCH,vega,lily,1427,1445,WIN,"[1,1]",B54X873DF,3
2026-01-08-0058,RANKED MATCH,vega,lily,1435,1437,LOSE,"[-1,-1]",NLKGDVPN7,3
2026-01-08-0056,RANKED MATCH,vega,ryu,1443,1455,LOSE,"[-1,-6]",CCJEDEDHF,3
2026-01-08-0054,RANKED MATCH,vega,ryu,1451,1447,LOSE,"[-1,1,-1]",DCUTKHEWP,3
2026-01-08-0051,RANKED MATCH,vega,guile,1459,1454,LOSE,"[-1,-6]",DSVELEHY4,3
2026-01-08-0049,RANKED MATCH,vega,guile,1468,1445,LOSE,"[1,-8,-1]",N64P8TQYA,4
2026-01-08-0047,RANKED MATCH,vega,guile,1460,1453,WIN,"[1,-5,1]",WGGPMJNLN,4
2026-01-08-0043,RANKED MATCH,vega,jp,1452,1435,WIN,"[1,1]",3FPKHET5M,4
