battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2025-12-28-0600,RANKED MATCH,vega,aki,1353,1336,WIN,"[1,0,1]",LC75W5T6X,1
2025-12-28-0558,RANKED MATCH,vega,aki,1362,1327,LOSE,"[0,1,0]",YYD7B7AW8,1
2025-12-28-0554,RANKED MATCH,vega,gouki,1369,1400,LOSE,"[0,0]",A5T88P9JN,1
2025-12-28-0552,RANKED MATCH,vega,gouki,1377,1392,LOSE,"[0,1,0]",RBA3RYG3K,1
2025-12-28-0550,RANKED MATCH,vega,gouki,1368,1401,WIN,"[1,1]",XKKJCXCCX,1
2025-12-28-0548,RANKED MATCH,vega,zangief,1361,1332,WIN,"[1,1]",BH3Y8EY75,1
2025-12-28-0546,RANKED MATCH,vega,zangief,1370,1323,LOSE,"[0,1,0]",XT68653EP,1
2025-12-28-0544,RANKED MATCH,vega,zangief,1363,1330,WIN,"[1,1]",3V6ST9Q7N,1
2025-12-28-0541,RANKED MATCH,vega,vega,1371,1375,LOSE,"[0,0]",JPG8KABVM,1
2025-12-28-0540,RANKED MATCH,vega,vega,1379,1367,LOSE,"[0,0]",QSPDCTRRT,1
2025-12-28-0538,RANKED MATCH,vega,vega,1371,1375,WIN,"[1,0,1]",MTLR47C8F,2
2025-12-28-0535,RANKED MATCH,vega,sagat,1376,1492,LOSE,"[0,1,0]",T9BA347Q7,2
2025-12-28-0533,RANKED MATCH,vega,sagat,1382,1486,LOSE,"[0,8,0]",9G3NYQCXA,2
2025-12-28-0530,RANKED MATCH,vega,ken,1390,1397,LOSE,"[1,0,0]",DXWQBWHPU,2
2025-12-28-0527,RANKED MATCH,vega,ken,1398,1389,LOSE,"[1,0,0]",JNEDVHCW5,2
2025-12-28-0524,RANKED MATCH,vega,ken,1390,1397,WIN,"[5,0,1]",WEETTP8HA,2
2025-12-28-0521,RANKED MATCH,vega,deejay,1398,1393,LOSE,"[0,0]",RWRDS8CWG,2
2025-12-28-0520,RANKED MATCH,vega,deejay,1390,1401,WIN,"[1,0,1]",5BSN8UAK3,2
2025-12-28-0517,RANKED MATCH,vega,deejay,1398,1393,LOSE,"[1,0,0]",JCCP53VVN,2
2025-12-28-0514,RANKED MATCH,vega,zangief,1391,1357,WIN,"[1,1]",E9WTUERBG,2
2025-12-28-0512,RANKED MATCH,vega,zangief,1383,1365,WIN,"[2,6]",7DCSF665E,3
2025-12-28-0509,RANKED MATCH,vega,vega,1376,1354,WIN,"[1,0,1]",6A4JEVLXL,3
2025-12-28-0507,RANKED MATCH,vega,vega,1368,1362,WIN,"[1,7]",DR94WW7SC,3
2025-12-28-0505,RANKED MATCH,vega,sagat,1377,1347,LOSE,"[0,0]",PRETNF7D6,3
2025-12-28-0503,RANKED MATCH,vega,sagat,1386,1338,LOSE,"[0,1,0]",SMNJACNNS,3
2025-12-28-0500,RANKED MATCH,guile,sagat,1374,1353,LOSE,"[1,0,0]",S4NHMGUVC,3
2025-12-28-0457,RANKED MATCH,guile,sagat,1383,1344,LOSE,"[1,0,0]",6LP6K7TLA,3
2025-12-28-0453,RANKED MATCH,guile,gouki,1392,1333,LOSE,"[1,0,0]",SX8W3VCCB,3
2025-12-28-0451,RANKED MATCH,guile,gouki,1402,1323,LOSE,"[1,0,0]",7WVS4XAS8,3
2025-12-28-0449,RANKED MATCH,guile,gouki,1396,1329,LOSE,"[1,0,7]",DVCJN577A,3
2025-12-28-0445,RANKED MATCH,guile,aki,1404,1391,LOSE,"[0,0]",TSHEJGA63,4
2025-12-28-0443,RANKED MATCH,guile,aki,1396,1399,WIN,"[0,6,1]",3FGFMQQTP,4
2025-12-28-0441,RANKED MATCH,guile,aki,1404,1391,LOSE,"[0,0]",URSLF6LFR,4
2025-12-28-0438,RANKED MATCH,marisa,zangief,1396,1323,WIN,"[0,2,1]",4GKNAE8FW,4
2025-12-28-0436,RANKED MATCH,marisa,zangief,1389,1330,WIN,"[6,1]",MB5CNVWDD,4
