battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2025-12-29-0514,RANKED MATCH,vega,kimberly,1430,1412,WIN,"[1,1]",Y588RTAHK,1
2025-12-29-0513,RANKED MATCH,vega,kimberly,1439,1403,LOSE,"[-8,1,-1]",568YADQDG,1
2025-12-29-0510,RANKED MATCH,vega,kimberly,1432,1410,WIN,"[-1,2,1]",XSE9VGNW6,1
2025-12-29-0507,RANKED MATCH,vega,dhalsim,1440,1458,LOSE,"[-1,-1]",UTT9V6V4V,1
2025-12-29-0505,RANKED MATCH,vega,dhalsim,1431,1467,WIN,"[1,-1,1]",ESLBK4GGN,1
2025-12-29-0502,RANKED MATCH,vega,dhalsim,1439,1459,LOSE,"[-5,1,-1]",N69VSF54M,1
2025-12-29-0458,RANKED MATCH,vega,luke,1432,1409,WIN,"[5,1]",E3G38RTPS,1
2025-12-29-0457,RANKED MATCH,vega,luke,1424,1417,WIN,"[1,-1,1]",89JSDX7M6,1
2025-12-29-0453,RANKED MATCH,vega,terry,1431,1468,LOSE,"[1,-1,-6]",4XNKKF6SM,1
2025-12-29-0451,RANKED MATCH,vega,terry,1438,1461,LOSE,"[-2,1,-6]",YVLPAXB5D,1
2025-12-29-0447,RANKED MATCH,vega,kimberly,1429,1463,WIN,"[5,-6,1]",KSD344V3H,2
2025-12-29-0444,RANKED MATCH,vega,kimberly,1420,1472,WIN,"[8,-1,6]",GSWQQDGHA,2
2025-12-29-0441,RANKED MATCH,vega,jp,1411,1442,WIN,"[1,1]",895QRRWF7,2
2025-12-29-0439,RANKED MATCH,vega,jp,1402,1451,WIN,"[1,1]",GEEGGNHMH,2
2025-12-29-0438,RANKED MATCH,vega,jp,1409,1444,LOSE,"[-1,-6]",HA7RX6KK3,2
2025-12-29-0435,RANKED MATCH,vega,rashid,1401,1397,WIN,"[-2,1,1]",DYQDMXXMS,2
2025-12-29-0433,RANKED MATCH,vega,rashid,1393,1405,WIN,"[1,-1,1]",4EN4EW6JD,2
2025-12-29-0429,RANKED MATCH,vega,ryu,1387,1295,WIN,"[1,6]",3TGETBRU3,2
2025-12-29-0428,RANKED MATCH,vega,ryu,1381,1301,WIN,"[1,7]",TD7TVXY9N,2
2025-12-29-0425,RANKED MATCH,vega,jamie,1389,1385,LOSE,"[1,-1,-8]",FNSD6UELE,2
2025-12-29-0422,RANKED MATCH,vega,jamie,1398,1376,LOSE,"[-1,-6]",5FFHSA97B,3
2025-12-29-0421,RANKED MATCH,vega,jamie,1390,1384,WIN,"[1,7]",YP4WFQKTA,3
2025-12-29-0418,RANKED MATCH,vega,gouki,1398,1381,LOSE,"[-1,-7]",AJQGC555A,3
2025-12-29-0416,RANKED MATCH,vega,gouki,1407,1372,LOSE,"[1,-1,-7]",8R786AG6T,3
2025-12-29-0413,RANKED MATCH,vega,gouki,1399,1380,WIN,"[1,1]",A6TXHP5QY,3
2025-12-29-0409,RANKED MATCH,vega,ken,1391,1374,WIN,"[6,5]",7AWPK9PFA,3
2025-12-29-0408,RANKED MATCH,vega,ken,1400,1365,LOSE,"[-1,1,-5]",43UAK434H,3
2025-12-29-0406,RANKED MATCH,vega,ken,1392,1373,WIN,"[1,1]",HWVCYR3HQ,3
2025-12-29-0403,RANKED MATCH,vega,mai,1398,1467,LOSE,"[-5,-8]",QPL4EPV8S,3
2025-12-29-0401,RANKED MATCH,vega,mai,1405,1460,LOSE,"[-8,-1]",B3G9YL8PG,3
2025-12-29-0357,RANKED MATCH,jamie,zangief,1351,1388,WIN,"[1,1]",W9NG7RDW3,4
2025-12-29-0354,RANKED MATCH,jamie,juri,1359,1365,LOSE,"[-1,2,-7]",38BJUF9AM,4
2025-12-29-0350,RANKED MATCH,jamie,jamie,1365,1466,LOSE,"[1,-1,-1]",DBU7JSQYA,4
2025-12-29-0348,RANKED MATCH,jamie,jamie,1354,1477,WIN,"[-1,2,1]",YDDGDFRM8,4
2025-12-29-0345,RANKED MATCH,jamie,jamie,1360,1471,LOSE,"[-6,-1]",R8HKWBAY6,4
2025-12-29-0343,RANKED MATCH,jamie,sagat,1351,1384,WIN,"[1,1]",H89YEM897,4
2025-12-29-0341,RANKED MATCH,jamie,sagat,1342,1393,WIN,"[-1,1,1]",J9XQYWGET,4
2025-12-29-0338,RANKED MATCH,jamie,sagat,1349,1386,LOSE,"[-1,-7]",PNGUQLN4W,4
2025-12-29-0336,RANKED MATCH,jamie,ken,1358,1314,LOSE,"[5,-6,-1]",EKF9UDP3A,4
2025-12-29-0333,RANKED MATCH,jamie,ken,1367,1305,LOSE,"[-1,-1]",HYPMR8P8M,4
2025-12-28-1056,RANKED MATCH,sagat,juri,1450,1418,WIN,"[8,1]",SJ6UX6XRJ,5
2025-12-28-1055,RANKED MATCH,sagat,juri,1442,1426,WIN,"[6,1]",S64KUA5PR,5
2025-12-28-1052,RANKED MATCH,sagat,luke,1434,1423,WIN,"[1,1]",UNF8NTUEA,5
2025-12-28-1051,RANKED MATCH,sagat,luke,1426,1431,WIN,"[1,1]",5VD3AP49H,5
2025-12-28-1049,RANKED MATCH,sagat,jamie,1434,1439,LOSE,"[-7,1,-7]",8WG33A7L6,5
2025-12-28-1046,RANKED MATCH,sagat,jamie,1425,1448,WIN,"[-1,1,1]",JNR8YWSN7,5
2025-12-28-1044,RANKED MATCH,sagat,jamie,1433,1440,LOSE,"[-2,-1]",NYPEE5K4F,5
2025-12-28-1041,RANKED MATCH,sagat,luke,1441,1429,LOSE,"[-1,-1]",V3Y9H6VUM,5
2025-12-28-1040,RANKED MATCH,sagat,luke,1450,1420,LOSE,"[1,-7,-1]",S3583G95A,5
2025-12-28-1036,RANKED MATCH,sagat,ryu,1459,1432,LOSE,"[1,-1,-1]",KU9YRBYXC,5
2025-12-28-1033,RANKED MATCH,sagat,ryu,1451,1440,WIN,"[1,1]",FU4JXV7NP,6
2025-12-28-1031,RANKED MATCH,sagat,ryu,1460,1431,LOSE,"[-1,-6]",EM8A76LYV,6
2025-12-28-1029,RANKED MATCH,luke,jp,1406,1361,LOSE,"[1,-6,-5]",BDMBXCAHJ,6
2025-12-28-1026,RANKED MATCH,luke,jp,1415,1352,LOSE,"[-1,-2]",5KJPNXR3T,6
2025-12-28-1024,RANKED MATCH,luke,ryu,1408,1357,WIN,"[-1,1,6]",3HWRFMK9Y,6
2025-12-28-1021,RANKED MATCH,luke,ryu,1401,1364,WIN,"[6,-1,7]",S6SXWKCBF,6
2025-12-28-1017,RANKED MATCH,jp,gouki,1409,1421,LOSE,"[-1,1,-5]",4PACT344B,6
2025-12-28-1015,RANKED MATCH,jp,gouki,1417,1413,LOSE,"[-8,2,-1]",4KER75W8N,6
2025-12-28-1012,RANKED MATCH,jp,gouki,1409,1401,WIN,"[1,1]",QJMDVJJY4,6
2025-12-28-1010,RANKED MATCH,jp,gouki,1401,1409,WIN,"[-1,1,1]",7NV4LGYCV,6
2025-12-28-1006,RANKED MATCH,luke,zangief,1409,1393,LOSE,"[-5,-7]",AK66DESQU,7
2025-12-28-1004,RANKED MATCH,luke,zangief,1418,1384,LOSE,"[-1,1,-1]",VGN89E9LX,7
2025-12-28-1001,RANKED MATCH,luke,ed,1410,1398,WIN,"[6,6]",UUWCQWDNS,7
2025-12-28-0958,RANKED MATCH,honda,gouki,1398,1410,LOSE,"[1,-1,-6]",5TWP5DF87,7
2025-12-28-0956,RANKED MATCH,honda,gouki,1389,1419,WIN,"[5,1]",YAC4YVRVH,7
2025-12-28-0954,RANKED MATCH,honda,gouki,1397,1411,LOSE,"[-6,1,-1]",EQTHMDKFX,7
2025-12-28-0951,RANKED MATCH,honda,juri,1404,1448,LOSE,"[-1,-1]",TL7SAGQB8,7
2025-12-28-0949,RANKED MATCH,honda,juri,1411,1441,LOSE,"[1,-1,-6]",KLUA8R84W,7
2025-12-28-0946,RANKED MATCH,honda,gouki,1418,1480,LOSE,"[-1,1,-1]",6N4AQ45T4,7
2025-12-28-0942,RANKED MATCH,marisa,jp,1348,1316,WIN,"[1,1]",G8U43VL6J,7
2025-12-28-0941,RANKED MATCH,marisa,jp,1340,1324,WIN,"[1,-1,1]",VP53QS8J3,8
2025-12-28-0937,RANKED MATCH,marisa,aki,1347,1393,LOSE,"[-1,-1]",RTXBLPMKA,8
2025-12-28-0935,RANKED MATCH,marisa,aki,1354,1386,LOSE,"[-1,1,-7]",B8JVCYTQB,8
2025-12-28-0933,RANKED MATCH,marisa,aki,1345,1395,WIN,"[-2,1,1]",AWGPPY6H4,8
2025-12-28-0930,RANKED MATCH,marisa,cammy,1338,1305,WIN,"[1,8]",GWN5DCCCX,8
2025-12-28-0929,RANKED MATCH,marisa,cammy,1330,1313,WIN,"[6,1]",Q8L7PD44H,8
