battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2026-01-02-1106,RANKED MATCH,guile,jp,1432,1412,LOSE,"[-1,-1]",6QRSTKYRT,1
2026-01-02-1104,RANKED MATCH,guile,jp,1424,1420,WIN,"[-1,1,1]",GW6PP5HEJ,1
2026-01-02-1101,RANKED MATCH,guile,jp,1432,1412,LOSE,"[-5,-1]",CS876FM7V,1
2026-01-02-1059,RANKED MATCH,guile,mai,1425,1387,WIN,"[1,1]",S57HLKFNS,1
2026-01-02-1057,RANKED MATCH,guile,mai,1418,1394,WIN,"[1,6]",F9WFD3AM7,1
2026-01-02-1054,RANKED MATCH,guile,gouki,1411,1382,WIN,"[-1,6,1]",D7QSGD3J8,1
2026-01-02-1051,RANKED MATCH,guile,gouki,1403,1390,WIN,"[1,1]",CVVRP38WX,1
2026-01-02-1049,RANKED MATCH,guile,gouki,1412,1381,LOSE,"[-1,-6]",DFYJWHGAF,1
2026-01-02-1046,RANKED MATCH,guile,zangief,1404,1389,WIN,"[1,-1,1]",J5LF76H8A,1
2026-01-02-1042,RANKED MATCH,guile,zangief,1396,1397,WIN,"[1,-1,1]",M867V4QEH,1
2026-01-02-1040,RANKED MATCH,guile,zangief,1404,1389,LOSE,"[-5,1,-1]",F3BUKJ5FK,2
2026-01-02-1036,RANKED MATCH,guile,juri,1396,1397,WIN,"[1,-1,1]",VXQB94X8B,2
2026-01-02-1034,RANKED MATCH,guile,juri,1404,1389,LOSE,"[1,-1,-1]",NKJ87RCKE,2
2026-01-02-1031,RANKED MATCH,guile,juri,1396,1397,WIN,"[1,1]",VQ5XWWXU9,2
2026-01-02-1028,RANKED MATCH,guile,zangief,1387,1415,WIN,"[-1,6,1]",WGFK8GU3C,2
2026-01-02-1026,RANKED MATCH,guile,gouki,1394,1436,LOSE,"[-1,-6]",WATJSCJVQ,2
2026-01-02-1024,RANKED MATCH,guile,gouki,1401,1429,LOSE,"[1,-1,-1]",7RUNW5HB5,2
2026-01-02-1021,RANKED MATCH,guile,ryu,1410,1388,LOSE,"[1,-1,-1]",B8YBY59MJ,2
2026-01-02-1018,RANKED MATCH,guile,ryu,1419,1379,LOSE,"[-8,-1]",SNPF4U6C9,2
