battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2025-12-28-0738,RANKED MATCH,guile,terry,1394,1357,WIN,"[5,7]",TDBP9E9XT,1
2025-12-28-0735,RANKED MATCH,guile,terry,1386,1365,WIN,"[1,0,6]",BXD9Q53S3,1
2025-12-28-0732,RANKED MATCH,guile,ken,1394,1399,LOSE,"[0,0]",KJRFX6H7C,1
2025-12-28-0730,RANKED MATCH,guile,ken,1386,1407,WIN,"[0,5,2]",EF9RD4BY6,1
2025-12-28-0728,RANKED MATCH,guile,ken,1394,1399,LOSE,"[0,1,0]",4UHPQ9PYP,1
2025-12-28-0725,RANKED MATCH,guile,terry,1388,1311,WIN,"[1,6]",YCYS9QBKK,1
2025-12-28-0722,RANKED MATCH,guile,ed,1395,1452,LOSE,"[0,1,0]",MFMWQPDE7,1
2025-12-28-0720,RANKED MATCH,guile,ed,1402,1445,LOSE,"[0,0]",MARK5DAGX,1
2025-12-28-0717,RANKED MATCH,guile,juri,1394,1384,WIN,"[1,0,1]",GG64WGMUL,1
2025-12-28-0714,RANKED MATCH,guile,juri,1386,1392,WIN,"[0,1,1]",K38MLBRS3,1
2025-12-28-0711,RANKED MATCH,guile,ed,1394,1409,LOSE,"[0,0]",J5QG34UCD,2
2025-12-28-0708,RANKED MATCH,guile,ed,1385,1418,WIN,"[0,1,6]",4HKRFEKGK,2
2025-12-28-0706,RANKED MATCH,guile,ed,1393,1410,LOSE,"[0,0]",B7FKKFCAH,2
2025-12-28-0703,RANKED MATCH,guile,vega,1385,1365,WIN,"[1,1]",NAPT4XWCR,2
2025-12-28-0702,RANKED MATCH,guile,vega,1377,1373,WIN,"[0,1,1]",BE7NGE49Y,2
2025-12-28-0659,RANKED MATCH,guile,dhalsim,1368,1404,WIN,"[1,6]",TN9XT3PEH,2
2025-12-28-0657,RANKED MATCH,guile,dhalsim,1359,1413,WIN,"[1,1]",PVKQCB3WQ,2
2025-12-28-0656,RANKED MATCH,guile,dhalsim,1366,1406,LOSE,"[0,0]",U7XLXECFJ,2
2025-12-28-0654,RANKED MATCH,vega,terry,1398,1376,WIN,"[1,0,1]",VCXYHX33V,2
2025-12-28-0650,RANKED MATCH,vega,jp,1390,1390,WIN,"[1,1]",PWJJQ8AC3,2
2025-12-28-0648,RANKED MATCH,vega,jp,1382,1398,WIN,"[1,1]",WT76U8X9J,3
2025-12-28-0645,RANKED MATCH,vega,terry,1389,1454,LOSE,"[8,0,0]",8ENBVJMG8,3
