battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2026-01-08-0509,RANKED MATCH,gouki,jamie,1235,1286,LOSE,"[-1,-1]",R3FL7SNVL,1
2026-01-08-0507,RANKED MATCH,gouki,jamie,1242,1279,LOSE,"[-1,-1]",7JPWGBVC6,1
2026-01-08-0504,RANKED MATCH,gouki,ryu,1234,1222,WIN,"[-1,1,1]",M5S3FU6JX,1
2026-01-08-0502,RANKED MATCH,gouki,ryu,1226,1230,WIN,"[5,-6,1]",GB4FFK9PW,1
2026-01-08-0459,RANKED MATCH,gouki,ryu,1234,1222,LOSE,"[-1,-6]",3ACV8TNG3,1
2026-01-08-0456,RANKED MATCH,gouki,gouki,1239,1387,LOSE,"[1,-1,-7]",QGMQVJ99V,1
2026-01-08-0453,RANKED MATCH,gouki,gouki,1244,1382,LOSE,"[-8,8,-1]",E7A3QHRQS,1
2026-01-08-0451,RANKED MATCH,gouki,gouki,1233,1393,WIN,"[1,-1,1]",WANA8EVFE,1
2026-01-08-0448,RANKED MATCH,gouki,cammy,1224,1283,WIN,"[1,1]",DFNTPCH4G,1
2026-01-08-0446,RANKED MATCH,gouki,cammy,1214,1293,WIN,"[1,1]",HPMLE6J5W,1
2026-01-08-0444,RANKED MATCH,gouki,ryu,1206,1227,WIN,"[1,1]",9XTKWXGDR,2
2026-01-08-0442,RANKED MATCH,gouki,ryu,1214,1219,LOSE,"[1,-1,-5]",YYYE9JR4T,2
2026-01-08-0440,RANKED MATCH,gouki,ryu,1205,1228,WIN,"[1,1]",THEXCAPV4,2
2026-01-08-0438,RANKED MATCH,gouki,elena,1212,1258,LOSE,"[-1,-1]",KRWRESXC6,2
2026-01-08-0436,RANKED MATCH,gouki,elena,1219,1251,LOSE,"[-1,-5]",5NEKGSXFB,2
2026-01-08-0434,RANKED MATCH,gouki,aki,1214,1069,WIN,"[-1,8,1]",655XSFKPJ,2
2026-01-08-0432,RANKED MATCH,gouki,aki,1209,1074,WIN,"[6,-1,1]",4FBBYNYCN,2
2026-01-08-0430,RANKED MATCH,gouki,aki,1220,1063,LOSE,"[-1,-7]",CFBNV6F3V,2
2026-01-08-0428,RANKED MATCH,gouki,cammy,1227,1257,LOSE,"[1,-7,-1]",L3QTQDEME,2
2026-01-08-0425,RANKED MATCH,gouki,cammy,1235,1249,LOSE,"[-5,6,-6]",K6WYYGKCK,2
2026-01-08-0422,RANKED MATCH,gouki,gouki,1243,1227,LOSE,"[1,-6,-6]",3DX89MWTX,3
2026-01-08-0420,RANKED MATCH,gouki,gouki,1252,1218,LOSE,"[-1,7,-5]",56STGHQX7,3
2026-01-08-0416,RANKED MATCH,luke,luke,1377,1428,LOSE,"[-1,-1]",V4WY69VQF,3
2026-01-08-0415,RANKED MATCH,luke,luke,1384,1421,LOSE,"[-1,8,-6]",LRMGE8VCV,3
2026-01-08-0412,RANKED MATCH,luke,juri,1376,1379,WIN,"[1,-1,1]",7499WDGKL,3
2026-01-08-0409,RANKED MATCH,luke,juri,1384,1371,LOSE,"[-1,-6]",X8Q5LRKCQ,3
2026-01-08-0408,RANKED MATCH,luke,juri,1376,1379,WIN,"[-1,1,7]",LJ5FYLDAW,3
2026-01-08-0404,RANKED MATCH,terry,gouki,1354,1372,LOSE,"[-6,-6]",WFXPCDESX,3
2026-01-08-0401,RANKED MATCH,terry,gouki,1362,1364,LOSE,"[-1,-8]",VRCK8N5UW,3
2026-01-08-0359,RANKED MATCH,zangief,manon,0,0,LOSE,"[-1,-1]",5LQJC7GRJ,3
2026-01-08-0358,RANKED MATCH,zangief,manon,0,0,LOSE,"[-8,1,-1]",TK3Q5YF5C,4
2026-01-08-0355,RANKED MATCH,sagat,mai,1454,1458,WIN,"[-1,1,1]",EA4L8CS8T,4
2026-01-08-0352,RANKED MATCH,sagat,mai,1446,1466,WIN,"[-1,1,6]",MA6QGMTGS,4
2026-01-08-0349,RANKED MATCH,sagat,deejay,1454,1463,LOSE,"[-1,-5]",HNT5NFKKL,4
2026-01-08-0347,RANKED MATCH,sagat,deejay,1462,1455,LOSE,"[-1,-7]",L6MLALGN3,4
2026-01-08-0344,RANKED MATCH,gouki,gouki,1261,1210,LOSE,"[-5,-1]",46HJ5ADW8,4
2026-01-08-0342,RANKED MATCH,gouki,gouki,1271,1200,LOSE,"[1,-1,-5]",JWXU59PGF,4
2026-01-08-0340,RANKED MATCH,gouki,gouki,1264,1207,WIN,"[1,-1,1]",T4WQEAWJ5,4
2026-01-08-0337,RANKED MATCH,gouki,jamie,1271,1304,LOSE,"[-5,-5]",XVR93CHGD,4
2026-01-08-0336,RANKED MATCH,gouki,jamie,1262,1313,WIN,"[1,6]",WWUVH3LQJ,4
2026-01-08-0334,RANKED MATCH,gouki,jamie,1269,1306,LOSE,"[-1,-1]",KFAY6M59Q,5
2026-01-08-0332,RANKED MATCH,gouki,cammy,1262,1210,WIN,"[1,1]",USVQA5YNL,5
2026-01-08-0330,RANKED MATCH,gouki,cammy,1255,1217,WIN,"[6,-1,1]",NG5ST9QP9,5
2026-01-08-0326,RANKED MATCH,honda,ken,1330,1230,LOSE,"[-1,1,-6]",CENCFGY8M,5
2026-01-08-0324,RANKED MATCH,honda,ken,1341,1219,LOSE,"[-1,-1]",UA6L7XB7B,5
2026-01-08-0321,RANKED MATCH,jamie,cviper,1332,1332,LOSE,"[-1,-6]",H5FCEQ9GL,5
2026-01-08-0320,RANKED MATCH,jamie,cviper,1340,1324,LOSE,"[1,-1,-1]",YTYNPV8HR,5
2026-01-08-0317,RANKED MATCH,ryu,ed,1323,1347,LOSE,"[-1,-1]",CNHFFVGQY,5
2026-01-08-0316,RANKED MATCH,ryu,ed,1331,1339,LOSE,"[1,-1,-1]",GNJ8GGBR3,5
2026-01-08-0312,RANKED MATCH,marisa,guile,1331,1322,LOSE,"[-1,1,-1]",VN69VCWUN,5
2026-01-08-0309,RANKED MATCH,marisa,guile,1340,1313,LOSE,"[2,-8,-5]",XRVGCP7KT,6
2026-01-08-0306,RANKED MATCH,ken,gouki,1349,1431,LOSE,"[-1,-1]",6LFH9G4BL,6
2026-01-08-0305,RANKED MATCH,ken,gouki,1355,1425,LOSE,"[-1,-6]",9RUU5JQU3,6
