battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2025-12-28-1006,RANKED MATCH,luke,zangief,1409,1393,LOSE,"[0,0]",AK66DESQU,1
2025-12-28-1004,RANKED MATCH,luke,zangief,1418,1384,LOSE,"[0,1,0]",VGN89E9LX,1
2025-12-28-1001,RANKED MATCH,luke,ed,1410,1398,WIN,"[6,6]",UUWCQWDNS,1
2025-12-28-0958,RANKED MATCH,honda,gouki,1398,1410,LOSE,"[1,0,0]",5TWP5DF87,1
2025-12-28-0956,RANKED MATCH,honda,gouki,1389,1419,WIN,"[5,1]",YAC4YVRVH,1
2025-12-28-0954,RANKED MATCH,honda,gouki,1397,1411,LOSE,"[0,1,0]",EQTHMDKFX,1
2025-12-28-0951,RANKED MATCH,honda,juri,1404,1448,LOSE,"[0,0]",TL7SAGQB8,1
2025-12-28-0949,RANKED MATCH,honda,juri,1411,1441,LOSE,"[1,0,0]",KLUA8R84W,1
2025-12-28-0946,RANKED MATCH,honda,gouki,1418,1480,LOSE,"[0,1,0]",6N4AQ45T4,1
2025-12-28-0942,RANKED MATCH,marisa,jp,1348,1316,WIN,"[1,1]",G8U43VL6J,1
2025-12-28-0941,RANKED MATCH,marisa,jp,1340,1324,WIN,"[1,0,1]",VP53QS8J3,2
2025-12-28-0937,RANKED MATCH,marisa,aki,1347,1393,LOSE,"[0,0]",RTXBLPMKA,2
2025-12-28-0935,RANKED MATCH,marisa,aki,1354,1386,LOSE,"[0,1,0]",B8JVCYTQB,2
2025-12-28-0933,RANKED MATCH,marisa,aki,1345,1395,WIN,"[0,1,1]",AWGPPY6H4,2
2025-12-28-0930,RANKED MATCH,marisa,cammy,1338,1305,WIN,"[1,8]",GWN5DCCCX,2
2025-12-28-0929,RANKED MATCH,marisa,cammy,1330,1313,WIN,"[6,1]",Q8L7PD44H,2
2025-12-28-0926,RANKED MATCH,marisa,marisa,1341,1180,LOSE,"[0,0]",DT5S8PX75,2
2025-12-28-0925,RANKED MATCH,marisa,marisa,1353,1168,LOSE,"[0,0]",5EXNB4P4G,2
2025-12-28-0922,RANKED MATCH,marisa,ryu,1348,1226,WIN,"[1,1]",CM9R7Q46W,2
2025-12-28-0921,RANKED MATCH,marisa,ryu,1359,1215,LOSE,"[0,0]",D9T7PLEES,2
2025-12-28-0919,RANKED MATCH,marisa,ryu,1354,1220,WIN,"[1,6]",5SEHV9QW8,3
2025-12-28-0917,RANKED MATCH,marisa,jamie,1347,1291,WIN,"[0,5,1]",Y5U7C74RX,3
2025-12-28-0915,RANKED MATCH,marisa,jamie,1340,1298,WIN,"[8,1]",AAPQHEDUT,3
2025-12-28-0913,RANKED MATCH,marisa,ryu,1348,1363,LOSE,"[0,0]",GKUHFBTCQ,3
2025-12-28-0911,RANKED MATCH,marisa,ryu,1356,1355,LOSE,"[1,0,0]",NRSWXDJKS,3
2025-12-28-0908,RANKED MATCH,marisa,terry,1364,1361,LOSE,"[0,0]",CF6NEDQQ7,3
2025-12-28-0906,RANKED MATCH,marisa,terry,1372,1353,LOSE,"[1,0,0]",CLFLSDU9V,3
2025-12-28-0904,RANKED MATCH,marisa,gouki,1379,1405,LOSE,"[0,0]",HX3GPPCGY,3
2025-12-28-0902,RANKED MATCH,marisa,gouki,1387,1397,LOSE,"[0,0]",D5VNURPBX,3
2025-12-28-0900,RANKED MATCH,marisa,jamie,1378,1411,WIN,"[0,1,1]",7BFEWAD4Q,3
2025-12-28-0857,RANKED MATCH,marisa,jamie,1386,1403,LOSE,"[0,0]",SLQULFKQR,4
2025-12-28-0856,RANKED MATCH,marisa,jamie,1377,1412,WIN,"[1,1]",SJNMJ58C6,4
2025-12-28-0853,RANKED MATCH,marisa,marisa,1385,1406,LOSE,"[1,0,0]",ULMDT55GC,4
2025-12-28-0851,RANKED MATCH,marisa,marisa,1393,1398,LOSE,"[0,6,0]",RC6AW9JXV,4
2025-12-28-0849,RANKED MATCH,marisa,marisa,1384,1407,WIN,"[5,1]",NKMXYU9EE,4
2025-12-28-0846,RANKED MATCH,marisa,marisa,1376,1391,WIN,"[0,1,1]",9U4EEEEUL,4
2025-12-28-0845,RANKED MATCH,marisa,marisa,1367,1400,WIN,"[2,0,8]",N5Y4PWL88,4
2025-12-28-0842,RANKED MATCH,marisa,rashid,1376,1352,LOSE,"[0,0]",PNWAP8A8G,4
2025-12-28-0840,RANKED MATCH,marisa,ken,1383,1442,LOSE,"[0,0]",D4S3RKJKY,4
2025-12-28-0838,RANKED MATCH,marisa,ken,1373,1452,WIN,"[1,1]",FRJDLP9PX,4
2025-12-28-0837,RANKED MATCH,marisa,ken,1379,1446,LOSE,"[0,1,0]",DY9AEJSFJ,5
2025-12-28-0834,RANKED MATCH,marisa,terry,1385,1464,LOSE,"[0,0]",RSN9FUULM,5
2025-12-28-0832,RANKED MATCH,marisa,terry,1391,1458,LOSE,"[0,0]",3RVF9Y8Q5,5
2025-12-28-0830,RANKED MATCH,marisa,gouki,1400,1363,LOSE,"[0,0]",4UE7JLPWG,5
2025-12-28-0829,RANKED MATCH,marisa,gouki,1409,1354,LOSE,"[0,0]",3MLRQDTKB,5
2025-12-28-0827,RANKED MATCH,marisa,gouki,1402,1361,WIN,"[1,0,1]",GCRHPL9UM,5
2025-12-28-0823,RANKED MATCH,luke,mai,1417,1463,LOSE,"[0,0]",Y4GWCAPS5,5
2025-12-28-0821,RANKED MATCH,luke,mai,1424,1456,LOSE,"[0,0]",7V9WCS9C4,5
2025-12-28-0819,RANKED MATCH,luke,vega,1416,1433,WIN,"[6,1]",VFLDY9L55,5
2025-12-28-0817,RANKED MATCH,luke,vega,1407,1442,WIN,"[1,1]",J3CE569JB,5
